,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
0,Net-juu no Susume,1568,TV,10,Oct 2017 - Dec 2017,450968,7.55,4230,Manga,?,Oct 2013 - Jul 2015,5893,7.34
1,s.CRY.ed,2248,TV,26,Jul 2001 - Dec 2001,81283,7.36,11502,Manga,5,May 2001 - Apr 2002,2106,6.78
2,Banana Fish,133,TV,24,Jul 2018 - Dec 2018,814329,8.48,74,Manga,19,Apr 1985 - Mar 1994,52440,8.63
3,Romantic Killer,524,ONA,12,Oct 2022 - Oct 2022,159661,8.06,5801,Manga,4,Jul 2019 - Jun 2020,4953,7.2
4,Keijo!!!!!!!!,4285,TV,12,Oct 2016 - Dec 2016,389224,6.93,4532,Manga,18,Jul 2013 - Apr 2017,12689,7.31
5,Toaru Majutsu no Index,2257,TV,24,Oct 2008 - Mar 2009,791235,7.36,1407,Manga,?,Apr 2007 -,15235,7.76
7,Kobato.,651,TV,24,Oct 2009 - Mar 2010,163055,7.95,850,Manga,6,Dec 2004 - Jul 2011,20642,7.94
8,Muhyo to Rouji no Mahouritsu Soudan Jimusho,5328,TV,12,Aug 2018 - Oct 2018,51328,6.71,2768,Manga,18,Nov 2004 - Mar 2008,4769,7.51
9,Children,9443,ONA,1,Jun 2011 - Jun 2011,3011,5.87,17619,Manga,2,Oct 2017 - Mar 2019,8881,5.73
10,"Kono Healer, Mendokusai",7176,TV,12,Apr 2022 - Jun 2022,53570,6.35,8337,Manga,?,Jul 2019 -,3390,7.01
11,Mayonaka no Occult Koumuin,5190,TV,12,Apr 2019 - Jun 2019,63703,6.73,7564,Manga,17,May 2015 - Feb 2022,1041,7.07
12,Boku no Hero Academia,743,TV,13,Apr 2016 - Jun 2016,2893115,7.89,575,Manga,?,Jul 2014 -,422550,8.1
